EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
40659958920,1,MTSUY,,NEWO,S,1,3,0,T,data/2023-12/e2020_20231207_LST_EVT_1.txt
400738824,1,DSX,2023/12/05,ADEX,S,5,1,0,T,data/2023-12/e2020_20231205_LST_EVT_1.txt
40179865073,1,AWLIF,,NEWO,S,6,1,0,T,data/2023-12/e2020_20231205_LST_EVT_1.txt
40179915479,1,LQR,2023/11/30,NEWO,S,60,1,0.0001,T,data/2023-12/e2020_20231205_LST_EVT_1.txt
40179864920,1,CZOO,2023/12/06,NEWO,S,100,1,0.002,T,data/2023-12/e2020_20231206_LST_EVT_1.txt
40179926699,1,DECPF,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231206_LST_EVT_1.txt
201010273255594,1,CZOO,2023/12/06,ADEX,S,1,1.087,0,F,data/2023-12/e2020_20231206_LST_EVT_1.txt
202010273255594,2,CZOO,2023/12/06,ADEX,S,1,1.1905,0,F,data/2023-12/e2020_20231206_LST_EVT_1.txt
203010273255594,3,CZOO,2023/12/06,ADEX,S,1,1.3158,0,F,data/2023-12/e2020_20231206_LST_EVT_1.txt
202010273265429,2,FUND,2023/12/13,ADEX,S,0,0,0,F,data/2023-12/e2020_20231206_LST_EVT_1.txt
40179660524,1,CENN,2023/12/08,NEWO,S,10,1,0,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
40179913804,1,LU,2023/12/15,NEWO,S,4,1,0,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
40179929146,1,TIL,2023/12/08,NEWO,S,20,1,0.000001,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
40179937142,1,JG,2023/12/11,NEWO,S,20,1,0,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
40179955166,1,SNCE,2023/12/08,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
40179963410,1,AUVI,2023/12/12,NEWO,S,25,1,0.0001,T,data/2023-12/e2020_20231211_LST_EVT_1.txt
201010273233394,1,MLGF,2023/12/14,ADEX,S,1,0.05,0,F,data/2023-12/e2020_20231211_LST_EVT_1.txt
400738864,1,TNGZF,,ADEX,S,25,1,0,T,data/2023-12/e2020_20231208_LST_EVT_3.txt
400738869,1,COO,2024/02/20,ADEX,S,1,3,0,T,data/2023-12/e2020_20231208_LST_EVT_3.txt
400738864,1,TNGZF,,ADEX,S,25,1,0,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
40179586797,1,BLTH,2023/12/08,NEWO,S,300,1,0.001,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
40179866736,1,TCBP,2023/12/15,NEWO,S,20,1,0,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
40179939343,1,GENE,2023/12/14,NEWO,S,5,1,0,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
40179962554,1,WBBA,,NEWO,S,100,1,0.001,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
202010273173780,2,APPCF,2023/11/17,ADEX,S,1,0.107852,0,F,data/2023-12/e2020_20231208_LST_EVT_2.txt
202010273230647,2,JELCF,2023/11/30,ADEX,S,1,0.014834,0,F,data/2023-12/e2020_20231208_LST_EVT_2.txt
202010273249500,2,VLXGF,2023/11/30,ADEX,S,219.5,1,0,F,data/2023-12/e2020_20231208_LST_EVT_2.txt
40659953892,1,IDKOY,2024/01/05,NEWO,S,1,5,0,T,data/2023-12/e2020_20231208_LST_EVT_2.txt
40179848616,1,FLLHF,2023/12/04,NEWO,S,50,1,0.01,T,data/2023-12/e2020_20231204_LST_EVT_1.txt
